考号	题65（男1女2）	题66	题1	题2	题3	题4	题5	题6	题7	题8	题9	题10	题11	题12	题13	题14	题15	题16	题17	题18	题19	题20	题21	题22	题23	题24	题25	题26	题27	题28	题29	题30	题31	题32	题33	题34	题35	题36	题37	题38	题39	题40	题41	题42	题43	题44	题45	题46	题47	题48	题49	题50	题51	题52	题53	题54	题55	题56	题57	题58	题59	题60	题61	题62	题63
 180023 	1	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	1	1	3	1	4	3	1	3	4	2	5	0	2	3	4	4	3	3	4	2	4	4	3	1	4	6	6	5	6	4	1
 180024 	1	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	1	1	3	1	4	3	1	1	4	4	5	2	5	2	1	2	4	3	3	1	4	3	6	5	3	4	3	3	4	3	6
 180025 	2	4	1	3	3	2	3	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	1	1	3	1	4	3	1	1	4	3	5	2	5	1	1	2	4	3	3	1	6	2	1	2	5	4	3	5	1	1	1
 180026 	1	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	1	1	1	1	1	3	1	1	4	4	5	3	4	3	1	2	3	3	3	1	4	4	4	4	3	2	3	3	4	4	6
 180027 	1	4	1	2	3	2	1	4	5	6	3	2	0	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	1	1	3	1	1	3	1	1	4	4	5	3	4	3	1	2	3	3	3	1	4	4	4	4	3	2	3	3	4	4	6
 180028 	1	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	3	1	1	3	2	6	4	1	4	4	1	3	4	2	4	4	1	2	3	1	4	3	1	1	4	4	5	0	3	1	1	2	4	4	2	4	2	0	4	4	1	3	3	3	3	4	6
 180029 	2	4	1	2	3	2	1	6	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	0	4	1	4	5	1	3	4	2	4	4	1	1	3	1	4	3	1	3	4	4	5	5	3	3	1	2	3	4	2	4	4	4	4	5	3	1	3	2	3	3	6
 180030 	1	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	4	4	4	1	1	3	1	4	3	1	3	4	4	5	3	3	3	1	2	3	4	2	4	4	4	4	2	3	1	3	0	2	3	6
 180031 	2	4	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	3	1	3	1	4	3	1	3	4	2	5	2	3	5	4	4	4	4	3	3	5	4	6	4	4	4	3	3	4	3	4
 180032 	1	3	1	2	3	2	1	4	5	6	3	2	3	4	1	3	4	3	5	1	1	3	2	6	4	1	4	5	1	3	4	3	4	4	1	5	3	1	4	3	1	1	4	4	5	5	2	0	1	4	1	4	3	1	5	4	6	3	4	4	4	2	3	6	4
